id,nameChinese,nameEnglish,nameGerman,meridian,element,location,depth,frequency,harmonicFrequencies,pointTypes,functions,indications,precautions,chakraCorrespondence
KI24,Lingxu,Spirit Ruins,Geistesruinen,KI,water,"2 cun lateral der Mittellinie, im 3. ICR",0.5-0.8 cun schräg,313.9,627.8; 941.7; 1255.6; 1569.5,regular,Reguliert Qi; Lindert Husten,Husten; Asthma; Brustschmerzen,Nicht tief stechen,
KI25,Shencang,Spirit Storehouse,Geistesspeicher,KI,water,"2 cun lateral der Mittellinie, im 2. ICR",0.5-0.8 cun schräg,319.2,638.4; 957.6; 1276.8; 1596,regular,Reguliert Qi; Lindert Husten,Husten; Asthma; Brustschmerzen,Nicht tief stechen,
KI26,Yuzhong,Lively Center,Lebendige Mitte,KI,water,"2 cun lateral der Mittellinie, im 1. ICR",0.5-0.8 cun schräg,324.5,649; 973.5; 1298; 1622.5,regular,Reguliert Qi; Lindert Husten,Husten; Asthma; Brustschmerzen,Nicht tief stechen,
KI27,Shufu,Shu Mansion,Transportpunkt-Palast,KI,water,"2 cun lateral der Mittellinie, in der Vertiefung unter der Clavicula",0.5-0.8 cun schräg,329.8,659.6; 989.4; 1319.2; 1649,regular,Tonisiert Nieren; Senkt rebellierendes Qi; Lindert Husten,Husten; Asthma; Brustschmerzen; Erbrechen,Nicht tief stechen,vishuddha
PC1,Tianchi,Celestial Pool,Himmlischer Teich,PC,fire,"1 cun lateral der Brustwarze, im 4. ICR",0.3-0.5 cun schräg,341.3,682.6; 1023.9; 1365.2; 1706.5,regular,Reguliert Qi im Brustkorb; Zerstreut Schwellung,Brustschmerzen; Achselschwellung; Mastitis,Nicht tief stechen - Pneumothorax-Risiko,anahata
PC2,Tianquan,Celestial Spring,Himmlische Quelle,PC,fire,"2 cun unter dem vorderen Achselfaltenende, zwischen den Köpfen des M. biceps",0.5-1 cun,349.9,699.8; 1049.7; 1399.6; 1749.5,regular,Reguliert Herz-Qi; Belebt Blut,Herzschmerzen; Brustschmerzen; Husten; Armschmerzen,,
PC3,Quze,Marsh at the Bend,Sumpf an der Beuge,PC,fire,"In der Ellenbogenfalte, ulnar der Bizepssehne",0.5-1 cun oder Blutenlassen,358.4,716.8; 1075.2; 1433.6; 1792,he_sea,Klärt Herz-Hitze; Kühlt Blut; Harmonisiert Magen,Herzschmerzen; Herzklopfen; Erbrechen; Fieber,,anahata
PC4,Ximen,Xi-Cleft Gate,Spalt-Tor,PC,fire,"5 cun proximal der Handgelenksfalte, zwischen den Sehnen",0.5-1 cun,367,734; 1101; 1468; 1835,xi_cleft,Beruhigt Herz; Stoppt Blutungen; Lindert Schmerzen,Herzschmerzen; Herzklopfen; Nasenbluten; Angst,,
PC5,Jianshi,Intermediary Courier,Vermittelnder Bote,PC,fire,"3 cun proximal der Handgelenksfalte, zwischen den Sehnen",0.5-1 cun,375.5,751; 1126.5; 1502; 1877.5,jing_river,Beruhigt Herz; Transformiert Schleim; Öffnet Brust,Herzschmerzen; Herzklopfen; Epilepsie; Manie,,
PC6,Neiguan,Inner Pass,Innere Grenze,PC,fire,"2 cun proximal der Handgelenksfalte, zwischen den Sehnen",0.5-1 cun,384.1,768.2; 1152.3; 1536.4; 1920.5,luo_connecting; confluent,Öffnet Yin Wei Mai; Beruhigt Herz; Harmonisiert Magen; Lindert Schmerzen,Übelkeit; Erbrechen; Herzschmerzen; Schlaflosigkeit; Angst,,anahata
PC7,Daling,Great Mound,Großer Hügel,PC,fire,"In der Mitte der Handgelenksfalte, zwischen den Sehnen",0.3-0.5 cun,392.6,785.2; 1177.8; 1570.4; 1963,shu_stream; yuan_source,Beruhigt Herz; Klärt Hitze; Harmonisiert Magen,Herzschmerzen; Herzklopfen; Mundgeruch; Handgelenkschmerzen,,anahata
PC8,Laogong,Palace of Toil,Palast der Arbeit,PC,fire,"In der Handfläche, wo die Fingerspitze des Mittelfingers bei geballter Faust zeigt",0.3-0.5 cun,401.2,802.4; 1203.6; 1604.8; 2006,ying_spring,Klärt Herz-Hitze; Beruhigt Geist; Belebt Bewusstsein,Mundgeschwüre; Bewusstlosigkeit; Epilepsie; Fieber,,manipura
PC9,Zhongchong,Central Hub,Zentrale Nabe,PC,fire,"Am Mittelfinger, 0.1 cun proximal des radialen Nagelwinkels",0.1 cun oder Blutenlassen,409.7,819.4; 1229.1; 1638.8; 2048.5,jing_well,Klärt Hitze; Belebt Bewusstsein; Öffnet Sinne,Bewusstlosigkeit; Fieber; Hitzschlag; Zungengeschwür,,
TE1,Guanchong,Rushing Pass,Drängende Passage,TE,fire,"Am Ringfinger, 0.1 cun proximal des ulnaren Nagelwinkels",0.1 cun oder Blutenlassen,343.5,687; 1030.5; 1374; 1717.5,jing_well,Klärt Hitze; Belebt Bewusstsein,Kopfschmerzen; Halsschmerzen; Fieber; Konjunktivitis,,
TE2,Yemen,Humor Gate,Flüssigkeitstor,TE,fire,"Zwischen 4. und 5. Finger, proximal des Schwimmhautrandes",0.3-0.5 cun,350.4,700.8; 1051.2; 1401.6; 1752,ying_spring,Klärt Hitze; Lindert Schmerzen,Kopfschmerzen; Ohrenschmerzen; Halsschmerzen; Malaria,,
TE3,Zhongzhu,Central Islet,Zentrale Insel,TE,fire,"Auf dem Handrücken, zwischen 4. und 5. Metakarpale, proximal des MCP-Gelenks",0.5-1 cun,357.3,714.6; 1071.9; 1429.2; 1786.5,shu_stream,Zerstreut Wind-Hitze; Öffnet Ohren; Aktiviert Kanal,Tinnitus; Schwerhörigkeit; Kopfschmerzen; Handschmerzen,,
TE4,Yangchi,Yang Pool,Yang-Teich,TE,fire,"Auf dem Handrücken, in der Handgelenksfalte, ulnar der Strecksehnen",0.3-0.5 cun,364.2,728.4; 1092.6; 1456.8; 1821,yuan_source,Entspannt Sehnen; Stärkt Yuan-Qi,Handgelenkschmerzen; Schulterschmerzen; Diabetes,,
TE5,Waiguan,Outer Pass,Äußere Grenze,TE,fire,"2 cun proximal der Handgelenksfalte, zwischen Radius und Ulna",0.5-1 cun,371.1,742.2; 1113.3; 1484.4; 1855.5,luo_connecting; confluent,Öffnet Yang Wei Mai; Zerstreut Wind-Hitze; Aktiviert Kanal,Erkältung; Kopfschmerzen; Tinnitus; Armschmerzen,,vishuddha
TE6,Zhigou,Branch Ditch,Zweiggraben,TE,fire,"3 cun proximal der Handgelenksfalte, zwischen Radius und Ulna",0.5-1 cun,378,756; 1134; 1512; 1890,jing_river,Reguliert Qi; Klärt Hitze; Fördert Stuhlgang,Verstopfung; Rippenschmerzen; Schulterschmerzen,,
TE7,Huizong,Convergence and Gathering,Zusammenkunft,TE,fire,"3 cun proximal der Handgelenksfalte, am radialen Rand der Ulna",0.5-1 cun,384.9,769.8; 1154.7; 1539.6; 1924.5,xi_cleft,Öffnet Ohren; Lindert Schmerzen,Schwerhörigkeit; Epilepsie; Armschmerzen,,
TE8,Sanyangluo,Three Yang Connection,Drei-Yang-Verbindung,TE,fire,"4 cun proximal der Handgelenksfalte, zwischen Radius und Ulna",0.5-1 cun,391.8,783.6; 1175.4; 1567.2; 1959,regular,Öffnet Ohren; Aktiviert Kanal,Schwerhörigkeit; Zahnschmerzen; Armschmerzen,,
TE9,Sidu,Four Rivers,Vier Flüsse,TE,fire,"5 cun distal des Olekranons, zwischen Radius und Ulna",0.5-1 cun,398.7,797.4; 1196.1; 1594.8; 1993.5,regular,Öffnet Ohren; Lindert Halsschmerzen,Schwerhörigkeit; Halsschmerzen; Zahnschmerzen,,
TE10,Tianjing,Celestial Well,Himmlischer Brunnen,TE,fire,"1 cun über dem Olekranon, bei gebeugtem Ellenbogen",0.5-1 cun,405.6,811.2; 1216.8; 1622.4; 2028,he_sea,Transformiert Schleim; Zerstreut Stagnation; Beruhigt Geist,Ellenbogenschmerzen; Nackensteifigkeit; Skrofulose; Depression,,
TE11,Qinglengyuan,Clear Cold Abyss,Klarer kalter Abgrund,TE,fire,2 cun über dem Olekranon,0.5-1 cun,412.5,825; 1237.5; 1650; 2062.5,regular,Aktiviert Kanal; Lindert Schmerzen,Schulterschmerzen; Kopfschmerzen,,
TE12,Xiaoluo,Dispersing Riverbed,Zerstreuendes Flussbett,TE,fire,"Auf der Linie zwischen Olekranon und TE14, in der Mitte des Oberarms",0.5-1 cun,419.4,838.8; 1258.2; 1677.6; 2097,regular,Aktiviert Kanal; Lindert Schmerzen,Kopfschmerzen; Nackensteifigkeit; Armschmerzen,,
TE13,Naohui,Upper Arm Convergence,Oberarm-Zusammenkunft,TE,fire,"3 cun unter TE14, am hinteren Rand des Deltoideus",0.5-1 cun,426.3,852.6; 1278.9; 1705.2; 2131.5,regular,Transformiert Schleim; Zerstreut Stagnation,Skrofulose; Armschmerzen,,
TE14,Jianliao,Shoulder Bone Hole,Schulterknochen-Vertiefung,TE,fire,"Posterior und inferior zum Akromion, bei abduziertem Arm",0.5-1 cun,433.2,866.4; 1299.6; 1732.8; 2166,regular,Zerstreut Wind; Aktiviert Kanal,Schulterschmerzen; Schultersteifigkeit; Armlähmung,,
TE15,Tianliao,Celestial Bone Hole,Himmlische Knochenvertiefung,TE,fire,Auf der Mitte zwischen GB21 und SI13,0.5-1 cun,440.1,880.2; 1320.3; 1760.4; 2200.5,regular,Zerstreut Wind; Aktiviert Kanal,Nacken- und Schulterschmerzen; Armschmerzen,,
TE16,Tianyou,Celestial Window,Himmlisches Fenster,TE,fire,"Am Hinterrand des M. SCM, auf Höhe des Unterkieferwinkels",0.5-1 cun,447,894; 1341; 1788; 2235,regular,Zerstreut Wind; Erhellt Sinne,Gesichtsschwellung; Sehstörungen; Schwerhörigkeit,Vorsicht - Gefäße,
TE17,Yifeng,Wind Screen,Windschirm,TE,fire,"Hinter dem Ohrläppchen, zwischen Processus mastoideus und Unterkieferast",0.5-1 cun,453.9,907.8; 1361.7; 1815.6; 2269.5,regular,Zerstreut Wind; Öffnet Ohren; Lindert Schmerzen,Tinnitus; Schwerhörigkeit; Gesichtslähmung; Ohrenschmerzen,,ajna
TE18,Chimai,Spasm Vessel,Krampfgefäß,TE,fire,"In der Mitte des Processus mastoideus, an der Haargrenze",0.3-0.5 cun schräg oder Blutenlassen,460.8,921.6; 1382.4; 1843.2; 2304,regular,Zerstreut Wind; Lindert Schmerzen,Kopfschmerzen; Tinnitus; Kinderkrämpfe,,
TE19,Luxi,Skull Rest,Schädelruhe,TE,fire,"Am Hinterrand des Ohres, auf Höhe der Ohrmuschelmitte",0.3-0.5 cun schräg,467.7,935.4; 1403.1; 1870.8; 2338.5,regular,Zerstreut Wind; Lindert Schmerzen,Kopfschmerzen; Tinnitus; Ohrenschmerzen,,
TE20,Jiaosun,Minute Angle,Winziger Winkel,TE,fire,"An der Ohrspitze, an der Haargrenze",0.3-0.5 cun schräg,474.6,949.2; 1423.8; 1898.4; 2373,regular,Zerstreut Wind; Lindert Schwellung,Augenrötung; Zahnschmerzen; Ohrenschwellung,,
TE21,Ermen,Ear Gate,Ohrentor,TE,fire,"Vor der Incisura supratragica, bei geöffnetem Mund",0.5-1 cun,481.5,963; 1444.5; 1926; 2407.5,regular,Öffnet Ohren; Zerstreut Wind-Hitze,Tinnitus; Schwerhörigkeit; Ohrenschmerzen; Zahnschmerzen,,ajna
TE22,Heliao,Harmony Bone Hole,Harmonie-Knochenvertiefung,TE,fire,"An der Haargrenze, hinter der A. temporalis superficialis",0.3-0.5 cun schräg,488.4,976.8; 1465.2; 1953.6; 2442,regular,Zerstreut Wind; Aktiviert Kanal,Kopfschmerzen; Tinnitus; Kiefergelenksprobleme,Vorsicht - A. temporalis,
TE23,Sizhukong,Silk Bamboo Hole,Seidenbambus-Vertiefung,TE,fire,"Am lateralen Ende der Augenbraue, in der Vertiefung",0.3-0.5 cun schräg,495.3,990.6; 1485.9; 1981.2; 2476.5,regular,Zerstreut Wind; Erhellt Augen,Kopfschmerzen; Augenschmerzen; Gesichtslähmung; Epilepsie,,ajna
GB1,Tongziliao,Pupil Bone Hole,Pupillen-Knochenvertiefung,GB,wood,0.5 cun lateral des äußeren Augenwinkels,0.3-0.5 cun schräg,288,576; 864; 1152; 1440,regular,Zerstreut Wind-Hitze; Erhellt Augen,Augenerkrankungen; Kopfschmerzen; Gesichtslähmung,,ajna
GB2,Tinghui,Auditory Convergence,Hörvereinigung,GB,wood,"Vor der Incisura intertragica, bei geöffnetem Mund",0.5-1 cun,292.4,584.8; 877.2; 1169.6; 1462,regular,Öffnet Ohren; Zerstreut Wind-Hitze,Tinnitus; Schwerhörigkeit; Kiefergelenksprobleme; Gesichtslähmung,,
GB3,Shangguan,Upper Gate,Oberes Tor,GB,wood,"Oberhalb des Jochbogens, in der Vertiefung vor dem Ohr",0.3-0.5 cun,296.8,593.6; 890.4; 1187.2; 1484,regular,Zerstreut Wind; Lindert Schmerzen,Kopfschmerzen; Tinnitus; Zahnschmerzen; Gesichtslähmung,,
GB4,Hanyan,Jaw Serenity,Kieferruhe,GB,wood,"An der Schläfe, am Haaransatz, über der A. temporalis",0.3-0.5 cun schräg,301.2,602.4; 903.6; 1204.8; 1506,regular,Zerstreut Wind; Lindert Schmerzen,Migräne; Schwindel; Tinnitus,Vorsicht - A. temporalis,
GB5,Xuanlu,Suspended Skull,Aufgehängter Schädel,GB,wood,"An der Schläfe, auf halber Strecke zwischen ST8 und GB7",0.3-0.5 cun schräg,305.6,611.2; 916.8; 1222.4; 1528,regular,Zerstreut Wind-Hitze; Lindert Schmerzen,Migräne; Augenrötung; Zahnschmerzen,,
GB6,Xuanli,Suspended Tuft,Aufgehängter Büschel,GB,wood,"An der Schläfe, auf der Verbindung GB4-GB7",0.3-0.5 cun schräg,310,620; 930; 1240; 1550,regular,Zerstreut Wind; Lindert Schmerzen,Migräne; Augenrötung; Tinnitus,,
GB7,Qubin,Temporal Hairline Curve,Schläfenhaaransatzkurve,GB,wood,"An der Schläfe, auf der Horizontalen durch die Ohrspitze",0.3-0.5 cun schräg,314.4,628.8; 943.2; 1257.6; 1572,regular,Zerstreut Wind; Lindert Schmerzen,Kopfschmerzen; Kiefergelenksprobleme; Schwellung der Wange,,
GB8,Shuaigu,Leading Valley,Führendes Tal,GB,wood,1.5 cun über der Ohrspitze,0.3-0.5 cun schräg,318.8,637.6; 956.4; 1275.2; 1594,regular,Zerstreut Wind; Lindert Alkoholvergiftung,Migräne; Übelkeit; Erbrechen; Kinderkrämpfe,,
GB9,Tianchong,Celestial Hub,Himmlische Nabe,GB,wood,0.5 cun posterior zu GB8,0.3-0.5 cun schräg,323.2,646.4; 969.6; 1292.8; 1616,regular,Beruhigt Geist; Lindert Krämpfe,Epilepsie; Kopfschmerzen; Zahnfleischschwellung,,
GB10,Fubai,Floating White,Schwebendes Weiß,GB,wood,"Posterior und inferior zu GB9, an der Haargrenze",0.3-0.5 cun schräg,327.6,655.2; 982.8; 1310.4; 1638,regular,Zerstreut Wind; Öffnet Ohren,Kopfschmerzen; Tinnitus; Schwerhörigkeit,,
GB11,Head Qiaoyin,Head Orifice Yin,Kopf-Öffnungs-Yin,GB,wood,"Zwischen GB10 und GB12, an der Haargrenze",0.3-0.5 cun schräg,332,664; 996; 1328; 1660,regular,Zerstreut Wind; Öffnet Ohren,Kopfschmerzen; Tinnitus; Ohrenschmerzen,,
GB12,Wangu,Mastoid Process,Warzenfortsatz,GB,wood,In der Vertiefung posteroinferior zum Processus mastoideus,0.5-0.8 cun,336.4,672.8; 1009.2; 1345.6; 1682,regular,Zerstreut Wind; Beruhigt Geist,Kopfschmerzen; Schlaflosigkeit; Gesichtslähmung; Zahnschmerzen,,
GB13,Benshen,Root Spirit,Wurzelgeist,GB,wood,"0.5 cun hinter dem Haaransatz, 3 cun lateral der Mittellinie",0.3-0.5 cun schräg,340.8,681.6; 1022.4; 1363.2; 1704,regular,Beruhigt Geist; Zerstreut Wind,Kopfschmerzen; Schwindel; Epilepsie; Angst,,ajna
GB14,Yangbai,Yang White,Yang-Weiß,GB,wood,"1 cun über der Augenbraue, in der Pupillenlinie",0.3-0.5 cun schräg,345.2,690.4; 1035.6; 1380.8; 1726,regular,Zerstreut Wind; Erhellt Augen,Kopfschmerzen; Augenschmerzen; Gesichtslähmung; Zucken der Augenlider,,ajna
GB15,Head Linqi,Head Overlooking Tears,Kopf-Tränenübersicht,GB,wood,"0.5 cun hinter dem Haaransatz, in der Pupillenlinie",0.3-0.5 cun schräg,349.6,699.2; 1048.8; 1398.4; 1748,regular,Erhellt Augen; Lindert Schmerzen,Kopfschmerzen; Augenerkrankungen; verstopfte Nase,,
GB16,Muchuang,Eye Window,Augenfenster,GB,wood,"1.5 cun hinter dem Haaransatz, in der Pupillenlinie",0.3-0.5 cun schräg,354,708; 1062; 1416; 1770,regular,Erhellt Augen; Zerstreut Wind,Kopfschmerzen; Augenrötung; Gesichtsschwellung,,
GB17,Zhengying,Upright Construction,Aufrechte Konstruktion,GB,wood,"2.5 cun hinter dem Haaransatz, in der Pupillenlinie",0.3-0.5 cun schräg,358.4,716.8; 1075.2; 1433.6; 1792,regular,Zerstreut Wind; Lindert Schmerzen,Kopfschmerzen; Schwindel; Zahnschmerzen,,
GB18,Chengling,Spirit Support,Geistunterstützung,GB,wood,"4 cun hinter dem Haaransatz, in der Pupillenlinie",0.3-0.5 cun schräg,362.8,725.6; 1088.4; 1451.2; 1814,regular,Beruhigt Geist; Öffnet Nase,Kopfschmerzen; Rhinitis; Nasenbluten; Asthma,,
GB19,Naokong,Brain Hollow,Gehirnhöhle,GB,wood,"Auf Höhe von DU17, 2.25 cun lateral der Mittellinie",0.3-0.5 cun schräg,367.2,734.4; 1101.6; 1468.8; 1836,regular,Zerstreut Wind; Lindert Schmerzen,Kopfschmerzen; Nackensteifigkeit; Schwindel; Epilepsie,,
GB20,Fengchi,Wind Pool,Windteich,GB,wood,"Unter dem Hinterhaupt, zwischen M. SCM und M. trapezius",0.8-1.2 cun zur Nasenspitze,371.6,743.2; 1114.8; 1486.4; 1858,regular,Zerstreut Wind; Unterdrückt Yang; Erhellt Sinne; Lindert Schmerzen,Kopfschmerzen; Schwindel; Erkältung; Nackensteifigkeit; Hypertonie,,ajna
GB21,Jianjing,Shoulder Well,Schulterbrunnen,GB,wood,Auf der Mitte zwischen Akromion und Dornfortsatz C7,0.5-1 cun,376,752; 1128; 1504; 1880,regular,Zerstreut Wind; Aktiviert Kanal; Fördert Laktation,Schulterschmerzen; Nackensteifigkeit; Mastitis; verzögerte Geburt,Kontraindiziert in der Schwangerschaft - kann Wehen auslösen,vishuddha
GB22,Yuanye,Armpit Abyss,Achselhöhlenabgrund,GB,wood,"3 cun unter der Achselhöhle, auf der mittleren Axillarlinie",0.3-0.5 cun schräg,380.4,760.8; 1141.2; 1521.6; 1902,regular,Reguliert Qi; Lindert Schwellung,Rippenschmerzen; Armschwellung; Achselschwellung,Nicht tief stechen,
GB23,Zhejin,Sinew Seat,Sehnensitz,GB,wood,"1 cun anterior zu GB22, auf Höhe der Brustwarze",0.3-0.5 cun schräg,384.8,769.6; 1154.4; 1539.2; 1924,regular,Reguliert Qi; Entspannt Sehnen,Rippenschmerzen; Asthma; Erbrechen,Nicht tief stechen,
GB24,Riyue,Sun and Moon,Sonne und Mond,GB,wood,"Im 7. ICR, auf der Mamillarlinie",0.5-0.8 cun schräg,389.2,778.4; 1167.6; 1556.8; 1946,mu_front,Reguliert Leber und Gallenblase; Harmonisiert Shaoyang,Gallenblasenentzündung; Rippenschmerzen; Erbrechen; bitterer Mundgeschmack,Nicht tief stechen,
GB25,Jingmen,Capital Gate,Hauptstadttor,GB,wood,An der Spitze der 12. Rippe,0.5-1 cun,393.6,787.2; 1180.8; 1574.4; 1968,mu_front,Stärkt Nieren; Reguliert Wasserwege,Lendenschmerzen; Harnprobleme; Rippenschmerzen,,
GB26,Daimai,Girdling Vessel,Gürtelgefäß,GB,wood,"Auf der Höhe des Nabels, unter LR13",0.5-1 cun,398,796; 1194; 1592; 1990,regular,Reguliert Dai Mai; Reguliert Menstruation,Menstruationsstörungen; Leukorr; Lendenschmerzen; Hernie,,
GB27,Wushu,Five Pivots,Fünf Drehpunkte,GB,wood,"3 cun unter dem Nabel, auf Höhe von REN4, lateral der Spina iliaca",0.5-1 cun,402.4,804.8; 1207.2; 1609.6; 2012,regular,Reguliert Dai Mai; Stärkt Lendenbereich,Leistenschmerzen; Hernie; Leukorr; Verstopfung,,
GB28,Weidao,Linking Path,Verbindungspfad,GB,wood,0.5 cun anterior und inferior zu GB27,0.5-1 cun,406.8,813.6; 1220.4; 1627.2; 2034,regular,Reguliert Dai Mai; Lindert Schmerzen,Leistenschmerzen; Leukorr; Prolaps,,
GB29,Juliao,Stationary Crevice,Stationäre Spalte,GB,wood,Auf der Mitte zwischen Spina iliaca anterior superior und Trochanter major,1-1.5 cun,411.2,822.4; 1233.6; 1644.8; 2056,regular,Zerstreut Wind-Feuchtigkeit; Aktiviert Kanal,Hüftschmerzen; Beinlähmung; Lendenschmerzen,,
GB30,Huantiao,Jumping Circle,Springender Kreis,GB,wood,"Am Gesäß, am Schnittpunkt des lateralen und mittleren Drittels zwischen Trochanter major und Hiatus sacralis",2-3 cun,415.6,831.2; 1246.8; 1662.4; 2078,regular,Zerstreut Wind-Feuchtigkeit; Stärkt Lendenbereich und Beine,Ischias; Hüftschmerzen; Beinlähmung; Hauterkrankungen,,muladhara
GB31,Fengshi,Wind Market,Windmarkt,GB,wood,"Lateral am Oberschenkel, wo die Mittelfingerspitze bei herabhängendem Arm endet",1-2 cun,420,840; 1260; 1680; 2100,regular,Zerstreut Wind; Lindert Juckreiz,Beinschmerzen; Lähmung; Urtikaria; Pruritus,,
GB32,Zhongdu,Central River,Zentraler Fluss,GB,wood,"5 cun über dem lateralen Kniegelenk, zwischen Vastus lateralis und Bizeps femoris",1-2 cun,424.4,848.8; 1273.2; 1697.6; 2122,regular,Zerstreut Wind; Aktiviert Kanal,Oberschenkelschmerzen; Beinlähmung; Knieschmerzen,,
GB33,Xiyangguan,Knee Yang Joint,Knie-Yang-Gelenk,GB,wood,"3 cun über GB34, in der Vertiefung zwischen Femur und Bizepssehne",0.5-1 cun,428.8,857.6; 1286.4; 1715.2; 2144,regular,Zerstreut Wind-Feuchtigkeit; Lindert Knieschmerzen,Knieschmerzen; Kniesteifigkeit; Unterschenkelschmerzen,,
GB34,Yanglingquan,Yang Mound Spring,Yang-Hügel-Quelle,GB,wood,In der Vertiefung vor und unter dem Fibulaköpfchen,1-1.5 cun,433.2,866.4; 1299.6; 1732.8; 2166,he_sea; hui_meeting,Entspannt Sehnen; Reguliert Leber und Gallenblase; Zerstreut Feuchtigkeit,Knieschmerzen; Rippenschmerzen; Beinlähmung; Gallenblasenerkrankungen,,manipura
GB35,Yangjiao,Yang Intersection,Yang-Kreuzung,GB,wood,"7 cun über dem Außenknöchel, am Hinterrand der Fibula",0.5-1 cun,437.6,875.2; 1312.8; 1750.4; 2188,xi_cleft,Beruhigt Geist; Aktiviert Kanal,Knieschmerzen; Brustschmerzen; Angst; Manie,,
GB36,Waiqiu,Outer Hill,Äußerer Hügel,GB,wood,"7 cun über dem Außenknöchel, am Vorderrand der Fibula",0.5-1 cun,442,884; 1326; 1768; 2210,xi_cleft,Aktiviert Kanal; Lindert Schmerzen,Nackensteifigkeit; Brustschmerzen; Unterschenkelschmerzen,,
GB37,Guangming,Bright Light,Helles Licht,GB,wood,"5 cun über dem Außenknöchel, am Vorderrand der Fibula",0.5-1 cun,446.4,892.8; 1339.2; 1785.6; 2232,luo_connecting,Erhellt Augen; Zerstreut Wind-Hitze,Augenerkrankungen; Nachtblindheit; Brustschmerzen; Unterschenkelschmerzen,,ajna
GB38,Yangfu,Yang Assistance,Yang-Hilfe,GB,wood,"4 cun über dem Außenknöchel, am Vorderrand der Fibula",0.5-1 cun,450.8,901.6; 1352.4; 1803.2; 2254,jing_river,Zerstreut Wind-Hitze; Aktiviert Kanal,Migräne; Augenaußenwinkelschmerzen; Knöchelschmerzen,,
GB39,Xuanzhong,Suspended Bell,Aufgehängte Glocke,GB,wood,"3 cun über dem Außenknöchel, am Hinterrand der Fibula",0.5-1 cun,455.2,910.4; 1365.6; 1820.8; 2276,hui_meeting,Nährt Mark; Stärkt Knochen; Aktiviert Kanal,Nackenschmerzen; Knöchelschmerzen; Knochenerkrankungen; Hemiplegie,,
GB40,Qiuxu,Hill Ruins,Hügelruinen,GB,wood,"Vor und unter dem Außenknöchel, in der Vertiefung lateral der Sehne",0.5-1 cun,459.6,919.2; 1378.8; 1838.4; 2298,yuan_source,Reguliert Leber und Gallenblase; Aktiviert Kanal,Knöchelschmerzen; Rippenschmerzen; bitterer Mundgeschmack; Gallenblasenerkrankungen,,
GB41,Foot Linqi,Foot Overlooking Tears,Fußtränenübersicht,GB,wood,"Auf dem Fußrücken, proximal des 4. und 5. Metatarsale",0.3-0.5 cun,464,928; 1392; 1856; 2320,shu_stream; confluent,Öffnet Dai Mai; Reguliert Leber-Qi; Lindert Schmerzen,Kopfschmerzen; Augenrötung; Brustschmerzen; Menstruationsstörungen,,svadhisthana
GB42,Diwuhui,Earth Fivefold Convergence,Fünffache Erdenvereinigung,GB,wood,"Zwischen 4. und 5. Metatarsale, distal von GB41",0.3-0.5 cun,468.4,936.8; 1405.2; 1873.6; 2342,regular,Reguliert Qi; Lindert Schwellung,Mastitis; Augenrötung; Fußrückenschmerzen,,
GB43,Xiaxi,Pinched Ravine,Eingeklemmte Schlucht,GB,wood,"Zwischen 4. und 5. Zehe, proximal des Schwimmhautrandes",0.3-0.5 cun,472.8,945.6; 1418.4; 1891.2; 2364,ying_spring,Klärt Hitze; Zerstreut Wind,Kopfschmerzen; Schwindel; Tinnitus; Brustschmerzen,,
GB44,Foot Qiaoyin,Foot Yin Portals,Fußyinportale,GB,wood,"Am 4. Zeh, 0.1 cun lateral des Nagelwinkels",0.1 cun oder Blutenlassen,477.2,954.4; 1431.6; 1908.8; 2386,jing_well,Klärt Hitze; Unterdrückt Yang; Beruhigt Geist,Kopfschmerzen; Tinnitus; Schlaflosigkeit; Rippenschmerzen,,
LR1,Dadun,Large Pile,Großer Haufen,LR,wood,"Am großen Zeh, 0.1 cun proximal des lateralen Nagelwinkels",0.1-0.2 cun oder Blutenlassen,288,576; 864; 1152; 1440,jing_well,Reguliert Leber-Qi; Reguliert untere Körperöffnungen,Hernie; Uterusblutung; Enuresis; Epilepsie,,muladhara
LR2,Xingjian,Moving Between,Dazwischen Bewegen,LR,wood,"Zwischen 1. und 2. Zehe, proximal des Schwimmhautrandes",0.5-1 cun,295.4,590.8; 886.2; 1181.6; 1477,ying_spring,Klärt Leber-Feuer; Kühlt Blut; Beruhigt Leber-Yang,Kopfschmerzen; Augenrötung; Schlaflosigkeit; Menstruationsstörungen,,
LR3,Taichong,Supreme Rushing,Höchstes Drängen,LR,wood,"Auf dem Fußrücken, zwischen 1. und 2. Metatarsale, in der Vertiefung distal ihrer Verbindung",0.5-1 cun,302.8,605.6; 908.4; 1211.2; 1514,shu_stream; yuan_source,Reguliert Leber-Qi; Unterdrückt Leber-Yang; Nährt Leber-Blut,Kopfschmerzen; Schwindel; Augenkrankheiten; Menstruationsstörungen; Reizbarkeit,,manipura
LR4,Zhongfeng,Mound Center,Hügelmitte,LR,wood,"Vor dem medialen Malleolus, medial der Sehne des M. tibialis anterior",0.5-1 cun,310.2,620.4; 930.6; 1240.8; 1551,jing_river,Reguliert Leber-Qi; Zerstreut Stagnation,Hernie; Lendenschmerzen; Harnverhalt; Knöchelschmerzen,,
